Found 2030 candidate functions.

[1/2030] Raw: 5.8163 | Validated: 5.8300%
[2/2030] Raw: 5.8163 | Validated: 5.8300%
[3/2030] Raw: 5.8163 | Validated: 5.8300%
[4/2030] Raw: 5.8163 | Validated: 5.8300%
[5/2030] Raw: 5.8163 | Validated: 5.8300%
[6/2030] Raw: 5.8163 | Validated: 5.8300%
[7/2030] Raw: 5.8163 | Validated: 5.8300%
[8/2030] Raw: 5.8163 | Validated: 5.8300%
[9/2030] Raw: 5.8163 | Validated: 5.8300%
[10/2030] Raw: 5.8163 | Validated: 5.8300%
[11/2030] Raw: 5.8163 | Validated: 5.8300%
[12/2030] Raw: 5.8163 | Validated: 5.8300%
[13/2030] Raw: 5.8163 | Validated: 5.8300%
[14/2030] Raw: 5.8163 | Validated: 5.8300%
[15/2030] Raw: 5.8163 | Validated: 5.8300%
[16/2030] Raw: 5.8163 | Validated: 5.8300%
[17/2030] Raw: 5.8163 | Validated: 5.8300%
[18/2030] Raw: 5.8163 | Validated: 5.8300%
[19/2030] Raw: 5.8163 | Validated: 5.8300%
[20/2030] Raw: 5.8163 | Validated: 5.8300%
[21/2030] Raw: 5.8163 | Validated: inf%
[22/2030] Raw: 5.8163 | Validated: 5.8300%
[23/2030] Raw: 5.8163 | Validated: 5.8300%
[24/2030] Raw: 5.8163 | Validated: 5.8300%
[25/2030] Raw: 5.8163 | Validated: 5.8300%
[26/2030] Raw: 5.8163 | Validated: 5.8300%
[27/2030] Raw: 5.8163 | Validated: 5.8300%
[28/2030] Raw: 5.8163 | Validated: 5.8300%
[29/2030] Raw: 5.8163 | Validated: 5.8300%
[30/2030] Raw: 5.8163 | Validated: 5.8300%
[31/2030] Raw: 5.8163 | Validated: 5.8300%
[32/2030] Raw: 5.8163 | Validated: 5.8300%
[33/2030] Raw: 5.8163 | Validated: 5.8300%
[34/2030] Raw: 5.8163 | Validated: inf%
[35/2030] Raw: 5.8163 | Validated: 5.8300%
[36/2030] Raw: 5.8163 | Validated: 5.8300%
